,9:00AM,9:30AM,10:00AM,10:30AM,11:00AM,11:30AM,12:00PM,12:30PM,1:00PM,1:30PM,2:00PM,2:30PM,3:00PM,3:30PM,4:00PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM,7:30PM,8:00PM,8:30PM,9:00PM,9:30PM,10:00PM,10:30PM,11:00PM,11:30PM,12:00AM
BURGUNDY,Leader Appreciation,,Carnival & BBQ,,Commuter Storage,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
RED,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
ORANGE,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,Open Mic Cleanup,SLEEP
GOLD,Leader Appreciation,Carnival Set-Up,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,Commuter Storage,,SLEEP,SLEEP
YELLOW,Leader Appreciation,Carnival Set-Up,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
GREEN,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Commuter Storage,,Open Mic Night,,,,SLEEP,SLEEP
CHARTREUSE,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,Open Mic Set-Up,Open Mic Night,,,,,,SLEEP,SLEEP
AQUA,Leader Appreciation,,Commuter Storage,,Carnival & BBQ,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,Open Mic Set-Up,Open Mic Night,,,,,,SLEEP,SLEEP
SKY BLUE,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
NAVY,Leader Appreciation,Carnival Set-Up,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Commuter Storage,,Open Mic Night,,,,SLEEP,SLEEP
MAGENTA,Leader Appreciation,,Carnival & BBQ,,,,Commuter Storage,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
PURPLE,Leader Appreciation,,Carnival & BBQ,,,,,,Commuter Storage,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
LILAC,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,Commuter Storage,,Open Mic Night,,SLEEP,SLEEP
PINK,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,Open Mic Cleanup,SLEEP
WHITE,Leader Appreciation,,Carnival & BBQ,,Commuter Storage,,Carnival & BBQ,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
BLACK,Leader Appreciation,,Carnival & BBQ,,,,,,,,Parade,,,,UTSU Carnival,,,,,Leader Ceremony,,Closing Ceremony,,Open Mic Night,,,,,,SLEEP,SLEEP
