,7:00AM,7:30AM,8:00AM,8:30AM,9:00AM,9:30AM,10:00AM,10:30AM,11:00AM,11:30AM,12:00PM,12:30PM,1:00PM,1:30PM,2:00PM,2:30PM,3:00PM,3:30PM,4:00PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM,7:30PM,8:00PM,8:30PM,9:00PM,9:30PM,10:00PM,10:30PM,11:00PM,11:30PM,12:00AM,12:30AM,1:00AM,1:30AM,2:00AM
BURGUNDY,Leader Appreciation,,Registration Set-Up,,Registration ,,Quad,,,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,Commuter Storage,,Scavenger Hunt,,Dinner,,Info Hub,,,Dance Party Set-Up,Dance Party,,,Alt. Event,,,,Alt. Event Cleanup,SLEEP,,SLEEP
RED,Leader Appreciation,,Quad,,Registration ,,Quad,,,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,,Scavenger Hunt,,,Scav. Hunt Cleanup,Dinner,,Commuter Storage,,Quad,,Commuter Storage,,Dance Party,,,Puke Patrol,,SLEEP,,SLEEP
ORANGE,Leader Appreciation,,Quad,,Registration ,,Quad,,Commuter Storage,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,Scav. Hunt Set-Up,Scavenger Hunt,,,Info Hub,,Dinner,,Dinner Cleanup,Alt. Event Set-Up,Alt. Event,,,Quad,,Dance Party,,Dance Party Cleanup,SLEEP,,SLEEP
GOLD,Leader Appreciation,,Quad,,,,,,Registration ,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,,Scavenger Hunt,,Dinner Set-Up,Dinner,,Dissolve,,,Commuter Storage,,Quad,,Dance Party,,,Puke Patrol,,SLEEP,,SLEEP
YELLOW,Leader Appreciation,,Info Hub,,Quad,,,,Registration ,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,,Scavenger Hunt,Info Hub,,Dinner,,Dissolve,,,Dance Party Set-Up,Dance Party,,,Alt. Event,,,,Alt. Event Cleanup,Puke Patrol,,SLEEP
GREEN,Leader Appreciation,,Quad,,Commuter Storage,,Quad,,Registration ,,Grand Meet + Greet,Pizza Set-Up,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,,Scavenger Hunt,,,Scav. Hunt Cleanup,Dinner,,Info Hub,,Quad,,Commuter Storage,,Alt. Event,,,,Alt. Event Cleanup,SLEEP,,SLEEP
CHARTREUSE,Leader Appreciation,,Quad,,Commuter Storage,,Quad,,,,Grand Meet + Greet,,Pizza w/ VUSAC,,Pizza Cleanup,Opening Ceremony,Frosh Dance,,Scav. Hunt Set-Up,Scavenger Hunt,,,Commuter Storage,,Dinner,,Quad,Alt. Event Set-Up,Alt. Event,,,Dance Party,,,Puke Patrol,,SLEEP,,SLEEP
AQUA,Leader Appreciation,,Commuter Storage,,Quad,,,,,,Grand Meet + Greet,,Pizza w/ VUSAC,,Pizza Cleanup,Opening Ceremony,Frosh Dance,,,Scavenger Hunt,,,Info Hub,,Dinner,,Quad,Alt. Event Set-Up,Alt. Event,,,Quad,,Dance Party,,Dance Party Cleanup,SLEEP,,SLEEP
SKY BLUE,Leader Appreciation,,Commuter Storage,,Quad,,,,,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,,Scavenger Hunt,,,Commuter Storage,,Dinner,,Dinner Cleanup,Quad,,Info Hub,,Dance Party,,Alt. Event,,Quad,Puke Patrol,,SLEEP
NAVY,Leader Appreciation,,Quad,,,,Registration ,,Quad,,Grand Meet + Greet,,Pizza w/ VUSAC,,Opening Ceremony,,Frosh Dance,,,Scavenger Hunt,,,Scav. Hunt Cleanup,Dinner,,Quad,,Alt. Event Set-Up,Alt. Event,,,Dance Party,,,,Quad,Puke Patrol,,SLEEP
MAGENTA,Leader Appreciation,,Quad,,,,Info Hub,,Quad,,Grand Meet + Greet,Pizza Set-Up,Pizza w/ VUSAC,,Pizza Cleanup,Opening Ceremony,Frosh Dance,Info Hub,,Scavenger Hunt,,,Quad,,Dinner,,Quad,Commuter Storage,,Info Hub,,Quad,,Dance Party,,Dance Party Cleanup,SLEEP,,SLEEP
PURPLE,Leader Appreciation,,Quad,,Info Hub,,Quad,,,,Grand Meet + Greet,Pizza Set-Up,Pizza w/ VUSAC,,Opening Ceremony,,Commuter Storage,,Frosh Dance,Scavenger Hunt,,,Dinner,,Dissolve,,,Dance Party Set-Up,Dance Party,,,Quad,,Alt. Event,,Alt. Event Cleanup,SLEEP,,SLEEP
