,7:00AM,7:30AM,8:00AM,8:30AM,9:00AM,9:30AM,10:00AM,10:30AM,11:00AM,11:30AM,12:00PM,12:30PM,1:00PM,1:30PM,2:00PM,2:30PM,3:00PM,3:30PM,4:00PM,4:30PM,5:00PM
BURGUNDY,Breakfast,Leader Appreciation,,Registration Set-Up,Registration ,,Annesley,,Queens Park,,Lunch Set-Up,Lunch,RJ,,Marg Ad,,Charles St.,,Clean/Set-Up for Mon.,Dinner,
RED,Breakfast,Leader Appreciation,,Annesley,,,Marg Ad,,RJ,,Lunch Set-Up,Lunch,Registration ,,St. Mary,,Queens Park,,Clean/Set-Up for Mon.,Dinner,
ORANGE,Breakfast,Leader Appreciation,,Annesley,,,St. Mary,,Charles St.,,Queens Park,,Marg Ad,,Lunch,,Registration ,,Registration Cleanup,Dinner,
GOLD,Breakfast,Leader Appreciation,,Registration Set-Up,Registration ,,St. Mary,,RJ,,Quad,,Charles St.,,Lunch,,Marg Ad,,Clean/Set-Up for Mon.,Dinner,
YELLOW,Breakfast,Leader Appreciation,,RJ,,,Charles St.,,St. Mary,,Annesley,,Lunch,,Marg Ad,,Queens Park,,Clean/Set-Up for Mon.,Dinner,
GREEN,Breakfast,Leader Appreciation,,RJ,,,Marg Ad,,St. Mary,,Registration ,,Quad,,Lunch,,Queens Park,,Clean/Set-Up for Mon.,Dinner,
CHARTREUSE,Breakfast,Leader Appreciation,,Marg Ad,,,Queens Park,,Annesley,,RJ,,Lunch,,Charles St.,,Marg Ad,,Clean/Set-Up for Mon.,Dinner,
AQUA,Breakfast,Leader Appreciation,,Marg Ad,,,Queens Park,,Charles St.,,St. Mary,,Annesley,,Lunch,,Lunch Cleanup,RJ,Clean/Set-Up for Mon.,Dinner,
SKY BLUE,Breakfast,Leader Appreciation,,Marg Ad,,,Annesley,,Queens Park,,St. Mary,,Lunch,,Annesley,,Charles St.,,Clean/Set-Up for Mon.,Dinner,
NAVY,Breakfast,Leader Appreciation,,St. Mary,,,Registration ,,Marg Ad,,Registration ,,Lunch,,Queens Park,,Marg Ad,,Clean/Set-Up for Mon.,Dinner,
MAGENTA,Breakfast,Leader Appreciation,,St. Mary,,,Registration ,,Marg Ad,,Lunch Set-Up,Lunch,St. Mary,,Queens Park,,Annesley,,Clean/Set-Up for Mon.,Dinner,
PURPLE,Breakfast,Leader Appreciation,,Charles St.,,,RJ,,Annesley,,Marg Ad,,Lunch,,Registration ,,Annesley,,Clean/Set-Up for Mon.,Dinner,
LILAC,Breakfast,Leader Appreciation,,Queens Park,,,Charles St.,,Registration ,,Marg Ad,,Lunch,,RJ,RJ,St. Mary,,Clean/Set-Up for Mon.,Dinner,
PINK,Breakfast,Leader Appreciation,,Queens Park,,,RJ,,Charles St.,,Lunch Set-Up,Lunch,Queens Park,,Marg Ad,,Registration ,,Registration Cleanup,Dinner,
WHITE,Breakfast,Leader Appreciation,,Charles St.,,,Marg Ad,,Registration ,,Quad,,Marg Ad,,Lunch,,Lunch Cleanup,St. Mary,Clean/Set-Up for Mon.,Dinner,
BLACK,Breakfast,Leader Appreciation,,RJ,,,Charles St.,,Marg Ad,,Lunch Set-Up,Lunch,Registration ,,Queens Park,,RJ,RJ,Clean/Set-Up for Mon.,Dinner,
