,9:00AM,9:30AM,10:00AM,10:30AM,11:00AM,11:30AM,12:00PM,12:30PM,1:00PM,1:30PM,2:00PM,2:30PM,3:00PM,3:30PM,4:00PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM,7:30PM,8:00PM,8:30PM,9:00PM,9:30PM,10:00PM,10:30PM,11:00PM,11:30PM,12:00AM,12:30AM,1:00AM,1:30AM,2:00AM
BURGUNDY,Leader Appreciation,,Quad,,Brunch w/ Innis,,Quad,Commuter Storage,,Reception,,,Reception Clean Up,Free Time,Dinner,Rainbow Sprinkles,,Fashion Show,,Quad,Boat Cruise: N Spirit,,,,,,Puke Patrol,,Commuter Storage,,Vic By Night,,SLEEP,,SLEEP
RED,Leader Appreciation,,International Reception,,International Cleanup,Brunch w/ Innis,Guest Lecture,,,Reception,,,Reception Clean Up,Free Time,Dinner,Rainbow Sprinkles,,Commuter Storage,,Quad,Boat Cruise: N Spirit,,,,,,Puke Patrol,,Commuter Storage,,Vic By Night,,SLEEP,,SLEEP
ORANGE,Leader Appreciation,,International Reception,,International Cleanup,Brunch w/ Innis,Commuter Storage,,Reception Set-Up,Reception,,,Quad,,Dinner,Info Hub,,Fashion Show,,Quad,Boat Cruise: N Spirit,,,,,,Puke Patrol,,Quad,,Vic By Night,,SLEEP,,SLEEP
GOLD,Leader Appreciation,,Quad,Brunch w/ Innis Set-Up,Brunch w/ Innis,,Quad,,Reception Set-Up,Reception,,,Reception Clean Up,Info Hub,,Dinner,Fashion Show Set-Up,Fashion Show,,Quad,Boat Cruise: N Spirit,,,,,,Puke Patrol,,Quad,,Vic By Night,,SLEEP,,SLEEP
YELLOW,Leader Appreciation,,Quad,Brunch w/ Innis Set-Up,Brunch w/ Innis,,Guest Lecture,,,Reception,,,Reception Clean Up,Free Time,Dinner,Rainbow Sprinkles,,Info Hub,,Quad,Boat Cruise: Kajama,,,,,,Commuter Storage,,Puke Patrol,,SLEEP,,,,SLEEP
GREEN,Leader Appreciation,International Set-Up,International Reception,,Brunch w/ Innis,,Free Time,,Quad,Commuter Storage,,Free Time,Transitional Seminar II,,Free Time,Dinner,Fashion Show Set-Up,Fashion Show,,Quad,Boat Cruise: Kajama,,,,,,Commuter Storage,,Puke Patrol,,SLEEP,,,,SLEEP
CHARTREUSE,Leader Appreciation,,Quad,,Brunch w/ Innis,,Commuter Storage,,,Quad,,Seminar Setup,Transitional Seminar II,,Free Time,Dinner,Fashion Show Set-Up,Fashion Show,,Fashion Cleanup,Cat's Eye Jam,,,,,,Cat's Eye Cleanup,Quad,Vic By Night,,,,Puke Patrol,,SLEEP
AQUA,Leader Appreciation,International Set-Up,International Reception,,Brunch w/ Innis,,Info Hub,,Reception Set-Up,Reception,,,Quad,Commuter Storage,,Dinner,Fashion Show Set-Up,Fashion Show,,Fashion Cleanup,Cat's Eye Jam,,,,,,Cat's Eye Cleanup,Quad,Vic By Night,,,,Puke Patrol,,SLEEP
SKY BLUE,Leader Appreciation,,SECsy Time,,Brunch w/ Innis,,Brunch Cleanup,Free Time,Commuter Storage,,,Quad,,Free Time,Dinner,Rainbow Sprinkles,,Fashion Show,,Quad,Boat Cruise: Kajama,,,,,,Vic By Night,,Quad,,Puke Patrol,,SLEEP,,SLEEP
NAVY,Leader Appreciation,,SECsy Time,,Brunch w/ Innis,,Brunch Cleanup,Free Time,Reception Set-Up,Reception,,,Info Hub,,Dinner,Fashion Show Set-Up,,Fashion Show,,Cat's Eye Set-Up,Cat's Eye Jam,,,,,,Vic By Night,,Quad,,Puke Patrol,,SLEEP,,SLEEP
MAGENTA,Leader Appreciation,SECsy Set-Up,SECsy Time,,SECsy Cleanup,Brunch w/ Innis,Guest Lecture,,,Quad,,Commuter Storage,,,Free Time,Dinner,Info Hub,Info Hub,,Cat's Eye Set-Up,Cat's Eye Jam,,,,,,Info Hub,,Vic By Night,,,,Puke Patrol,,SLEEP
PURPLE,Leader Appreciation,SECsy Set-Up,SECsy Time,,SECsy Cleanup,Brunch w/ Innis,Free Time,,Reception Set-Up,Reception,,,Quad,,Dinner,Commuter Storage,,Fashion Show,,Quad,Boat Cruise: Kajama,,,,,,Vic By Night,,Info Hub,,Puke Patrol,,SLEEP,,SLEEP
LILAC,Leader Appreciation,,International Reception,,Brunch w/ Innis,,Quad,,Info Hub,,,Seminar Setup,Transitional Seminar II,,Free Time,Dinner,Fashion Show Set-Up,Fashion Show,,Quad,Boat Cruise: Kajama,,,,,,Quad,,Vic By Night,,Puke Patrol,,SLEEP,,SLEEP
PINK,Leader Appreciation,,International Reception,,Brunch w/ Innis,,Free Time,,Reception Set-Up,Reception,,,Info Hub,,Quad,Dinner,Free Time,Fashion Show,,Quad,Boat Cruise: N Spirit,,,,,,Info Hub,,Puke Patrol,,SLEEP,,,,SLEEP
WHITE,Leader Appreciation,,Quad,,Brunch w/ Innis,,Info Hub,,,Quad,,Seminar Setup,Transitional Seminar II,,Free Time,Dinner,Commuter Storage,,,Quad,Boat Cruise: N Spirit,,,,,,Vic By Night,,Puke Patrol,,SLEEP,,,,SLEEP
BLACK,Leader Appreciation,International Set-Up,International Reception,,Brunch w/ Innis,,Guest Lecture,,,Quad,Info Hub,,Free Time,,Dinner,Fashion Show Set-Up,,Fashion Show,,Quad,Boat Cruise: N Spirit,,,,,,Quad,,Puke Patrol,,SLEEP,,,,SLEEP
