,9:00AM,9:30AM,10:00AM,10:30AM,11:00AM,11:30AM,12:00PM,12:30PM,1:00PM,1:30PM,2:00PM,2:30PM,3:00PM,3:30PM,4:00PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM,7:30PM,8:00PM,8:30PM,9:00PM,9:30PM,10:00PM,10:30PM,11:00PM,11:30PM,12:00AM,12:30AM,1:00AM,1:30AM,2:00AM
BURGUNDY,Leader Appreciation,Quad,,,Free Time,,Lunch,Commuter Storage,,Reception,,,Reception Clean Up,Free Time,,Frosh Plays,,Open Doors GSC,,Dinner,,Casino Night Set-Up,Casino Night,,,,,,Karaoke Night,,,Puke Patrol,,,SLEEP
RED,Leader Appreciation,Quad,,,Free Time,,Lunch,Guest Lecture,,Reception,,,Reception Clean Up,Free Time,,Frosh Plays,,Commuter Storage,,Dinner,,Quad,Karaoke Night,,,Commuter Storage,,Quad,,Casino Night,,,Casino Night Cleanup,SLEEP,SLEEP
ORANGE,Leader Appreciation,Quad,,,Commuter Storage,,,Lunch,Reception Set-Up,Reception,,,Transitional Seminar I,,,Frosh Plays,,Quad,,Dinner,,Quad,Casino Night,,,Karaoke Night,,,Quad,Commuter Storage,,Puke Patrol,,,SLEEP
GOLD,Leader Appreciation,Quad,,,Free Time,,,Lunch,Reception Set-Up,Reception,,,Reception Clean Up,Info Hub,,Frosh Plays,,Open Doors GSC,,Dinner,,Quad,Commuter Storage,,,Casino Night,,,,Info Hub,,Commuter Storage,,SLEEP,SLEEP
YELLOW,Leader Appreciation,Commuter Storage,,,Free Time,,Lunch,Guest Lecture,,Reception,,,Reception Clean Up,Free Time,,Info Hub,,Open Doors GSC,,Dinner,,Quad,Karaoke Night,,,Quad,,Commuter Storage,,Casino Night,,,Casino Night Cleanup,SLEEP,SLEEP
GREEN,Leader Appreciation,Info Hub,,,Registrar's Welcome,,,Lunch,Quad,Commuter Storage,Commuter Storage,Free Time,Transitional Seminar I,,,Frosh Plays,,Free Time,,Dinner,,Casino Night Set-Up,Casino Night,,,Karaoke Night,,Quad,,,Puke Patrol,,SLEEP,SLEEP,SLEEP
CHARTREUSE,Leader Appreciation,Quad,,,Info Hub,,Lunch,Commuter Storage,,Quad,Free Time,Seminar Setup,Transitional Seminar I,,,Frosh Plays,,Free Time,Dinner Set-Up,Dinner,,Quad,Karaoke Night,,,Info Hub,,,Casino Night,,,,Puke Patrol,,SLEEP
AQUA,Leader Appreciation,Quad,,,Info Hub,,,Lunch,Reception Set-Up,Reception,,,Free Time,Commuter Storage,,Frosh Plays,,Info Hub,,Dinner,,Casino Night Set-Up,Casino Night,,,Quad,Karaoke Night,,,Casino Night,,,Casino Night Cleanup,SLEEP,SLEEP
SKY BLUE,Leader Appreciation,Breakfast w/ Presidents,,,Quad,,Free Time,Lunch,Commuter Storage,,,Quad,Free Time,,,Frosh Plays,,Info Hub,,Dinner,,Casino Night Set-Up,Casino Night,,,Quad,Karaoke Night,,,Casino Night,,,Casino Night Cleanup,SLEEP,SLEEP
NAVY,Leader Appreciation,Quad,,,Registrar's Welcome,,,Lunch,Reception Set-Up,Reception,,,Info Hub,,Quad,Commuter Storage,,Quad,,Dinner,,Karaoke Night Set-Up,Karaoke Night,,,Info Hub,,,Quad,,,Puke Patrol,,,SLEEP
MAGENTA,Leader Appreciation,Quad,,,Commuter Storage,,Lunch,Guest Lecture,,Quad,,Commuter Storage,,Free Time,,Frosh Plays,,Open Doors GSC,,Dinner,,Dinner Cleanup,Casino Night,,,Karaoke Night,,,Info Hub,,,Puke Patrol,,SLEEP,SLEEP
PURPLE,Leader Appreciation,Quad,,,Registrar's Welcome,,,Lunch,Reception Set-Up,Reception,,,Quad,Free Time,,Info Hub,,Open Doors GSC,,Dinner,,Dinner Cleanup,Casino Night,,,Commuter Storage,,,Karaoke Night,,,,Puke Patrol,,SLEEP
LILAC,Leader Appreciation,Breakfast w/ Presidents,,,Quad,,Lunch,Info Hub,,,Free Time,Seminar Setup,Transitional Seminar I,,,Frosh Plays,,Commuter Storage,,Dinner,,Karaoke Night Set-Up,Karaoke Night,,,Quad,Casino Night,,,Commuter Storage,,Puke Patrol,,SLEEP,SLEEP
PINK,Leader Appreciation,Quad,,,Registrar's Welcome,,,Lunch,Reception Set-Up,Reception,,,Info Hub,,Quad,Frosh Plays,,Open Doors GSC,,Dinner,,Quad,Casino Night,,,,Karaoke Night,,,Casino Night,,Commuter Storage,,SLEEP,SLEEP
WHITE,Leader Appreciation,Breakfast w/ Presidents,,,Free Time,,Lunch,Info Hub,,,Free Time,Seminar Setup,Transitional Seminar I,,,Frosh Plays,,Free Time,Dinner Set-Up,Dinner,,Quad,Info Hub,,,Karaoke Night,,,,Casino Night,,,Puke Patrol,,SLEEP
BLACK,Leader Appreciation,Breakfast w/ Presidents,,,Free Time,,Lunch,Guest Lecture,,Quad,Info Hub,,Free Time,,,Commuter Storage,,Quad,,Dinner,,Casino Night Set-Up,Casino Night,,,,Karaoke Night,,,Casino Night,,,Puke Patrol,,SLEEP
