,9:00AM,9:30AM,10:00AM,10:30AM,11:00AM,11:30AM,12:00PM,12:30PM,1:00PM,1:30PM,2:00PM,2:30PM,3:00PM,3:30PM,4:00PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM,7:30PM,8:00PM,8:30PM,9:00PM,9:30PM,10:00PM,10:30PM,11:00PM,11:30PM,12:00AM,12:30AM,1:00AM,1:30AM,2:00AM
BURGUNDY,Leader Appreciation,Info Hub,,Pylon Patrol,,Wellness SetUp,Wellness,,Lunch,,Free Time,,Trads & Convocation,,,,,,,,Info Hub,,Dinner w/ The Dean,,S&G Set-Up,,Scarlet & Gold,,,,,,S+G Cleanup,SLEEP,SLEEP
RED,Leader Appreciation,Commuter Storage,,Pylon Patrol,,Wellness SetUp,Wellness,,Lunch,,Info Hub,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,,,S&G Set-Up,,Scarlet & Gold,,,,,,S+G Cleanup,SLEEP,SLEEP
ORANGE,Leader Appreciation,Tours Set-Up,Tours,,,,Lunch,,Pylon Patrol,,Free Time,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,Info Hub,,,Dinner Cleanup,Scarlet & Gold,,,Head Back to Vic,Commuter Storage,,Puke Patrol,,SLEEP
GOLD,Leader Appreciation,Pylon Patrol,,Quad,Info Hub,,Lunch,,Wellness,,Commuter Storage,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,,,Pylon Patrol,,Scarlet & Gold,,,,,,S+G Cleanup,SLEEP,SLEEP
YELLOW,Leader Appreciation,Tours Set-Up,Tours,,,,Lunch,,Pylon Patrol,,Free Time,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,Pylon Patrol,,S&G Set-Up,,Scarlet & Gold,,,Alt. Event,,,Commuter Storage,,SLEEP
GREEN,Leader Appreciation,,Pylon Patrol,,Quad,,Info Hub,,Lunch,,Free Time,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,Commuter Storage,,Quad,Alt. Event Set-Up,Alt. Event,,,Scarlet & Gold,,,Puke Patrol,,SLEEP
CHARTREUSE,Leader Appreciation,,Tours,,Info Hub,,Pylon Patrol,,Lunch,,Free Time,,Trads & Convocation,,,,,,,,Pylon Patrol,,Dinner w/ The Dean,,Quad,Info Hub,Scarlet & Gold,,,Alt. Event,,,Commuter Storage,,SLEEP
AQUA,Leader Appreciation,,Info Hub,,Quad,,Commuter Storage,,Lunch,,Pylon Patrol,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,,,Quad,Info Hub,Scarlet & Gold,,,Alt. Event,,,Alt. Event Cleanup,SLEEP,SLEEP
SKY BLUE,Leader Appreciation,,Pylon Patrol,,,Wellness SetUp,Wellness,,Lunch,,Free Time,,Trads & Convocation,,,,,,,,Commuter Storage,,Dinner w/ The Dean,,Quad,Alt. Event Set-Up,Alt. Event,,,Scarlet & Gold,,,Head Back to Vic,SLEEP,SLEEP
NAVY,Leader Appreciation,Pylon Patrol,,Tours,,,Lunch,,Commuter Storage,,Pylon Patrol,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,,,Pylon Patrol,,Scarlet & Gold,,,Alt. Event,,,Commuter Storage,,SLEEP
MAGENTA,Leader Appreciation,,Quad,,Commuter Storage,,Pylon Patrol,,Lunch,,Free Time,,Trads & Convocation,,,,,,,,Commuter Storage,,Dinner w/ The Dean,,Quad,Alt. Event Set-Up,Alt. Event,,,Scarlet & Gold,,,Head Back to Vic,SLEEP,SLEEP
PURPLE,Leader Appreciation,,Tours,,Pylon Patrol,,Lunch,,Info Hub,,Free Time,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,,,S&G Set-Up,,Scarlet & Gold,,Commuter Storage,,Alt. Event,,Alt. Event Cleanup,SLEEP,SLEEP
LILAC,Leader Appreciation,Commuter Storage,Tours,,Pylon Patrol,,Lunch,,Wellness,,Free Time,,Trads & Convocation,,,,,,,,Pylon Patrol,,Dinner w/ The Dean,,S&G Set-Up,,Scarlet & Gold,,,,,,S+G Cleanup,SLEEP,SLEEP
PINK,Leader Appreciation,Tours Set-Up,Tours,,,,Pylon Patrol,,Lunch,,Free Time,,Trads & Convocation,,,,,,,,Info Hub,,Dinner w/ The Dean,,Pylon Patrol,,Scarlet & Gold,,,Alt. Event,,,Puke Patrol,,SLEEP
WHITE,Leader Appreciation,Tours Set-Up,Tours,,,,Lunch,,Pylon Patrol,,Free Time,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,,,Commuter Storage,,Scarlet & Gold,,,Alt. Event,,,Puke Patrol,,SLEEP
BLACK,Leader Appreciation,,Commuter Storage,,Pylon Patrol,,Lunch,,Wellness,,Free Time,,Trads & Convocation,,,,,,,,Dinner w/ The Dean,,Commuter Storage,,Dinner Cleanup,Alt. Event Set-Up,Alt. Event,,,Scarlet & Gold,,,Head Back to Vic,SLEEP,SLEEP
